Year,Year_Thai,"	Prov",MSW_GenRate(ton/d),MSW_GenRate(kg/c/d),MSW_Reclycled,MSW_ProperDisposed,MSW_ImproperDisposed,Gen_Waste,Food_Waste,Recycl_Waste,Hazard_Waste,Pop,Pop_Total,Area_km2,Pop_Density,Age_0_5,Age_6_17,Age_18_24,Age_25_44,Age_45_64,Age_65plus,Male,Female,Employed,Unemployed,No_Households,HH_Income_Avg,GPP_per_Capita,GPP_Agriculture(%),GPP_Industrial(%),GPP_Services(%),LAO_Special,City_Muni,Town_Muni,Subdist_Muni,SAO,District_BKK,Visitors(ppl),Excursionists(ppl),Cluster,Cluster_Label
2021,2564,Krabi,435,0.91,111,150,174,0,0,0,0,479351,501875,4709,101.8,7.05,18.45,9.6,30.87,25.18,8.99,49.75,50.4,96.7585633,3.241436695,118,29840.64,168946,37.91,8.61,53.47,0,0,1,14,46,0,310793,96340,1,Agricultural
2021,2564,Bangkok,12214,2.21,3564,8650,,0,0,0,0,5527994,7911486,1569,3523.9,3.96,12.34,8.17,29.27,29.72,15.31,46.53,52.88,96.26398319,3.736016812,2938,40200.77,588899,0.04,11.72,88.24,0,0,0,0,0,50,8578532,5127907,2,Urban
2021,2564,Kanchanaburi,849,0.95,403,150,296,30.51,30.94,37.89,0.65,894054,949824,19483,45.9,5.66,15.24,9.73,29.87,27.64,11.89,50.12,49.9,98.74392822,1.256071776,247,25939.81,128393,22.82,28.59,48.59,0,0,3,46,72,0,1267877,2764751,4,Tourism
2021,2564,Kalasin,738,0.76,243,130,365,49.59,25.34,24.145,0.925,975570,983683,6947,140.4,4.93,13.47,8.11,29.44,31.44,12.26,49.19,50.46,95.95885712,4.041142879,239,19398.37,78169,21.8,20.9,57.3,0,0,2,77,71,0,135592,104845,3,Mixed Economies
2021,2564,Kamphaeng Phet,543,0.76,256,120,167,8.61,40.22,50.61,0.56,712143,735280,8607,82.7,5.01,14.22,8.56,28.3,29.94,13.49,49.1,50.42,99.48233682,0.517663176,251,20941.15,144203,18.95,48.19,32.86,0,0,3,22,64,0,161961,115068,0,Industrial
2021,2564,Khon Kaen,1289,0.72,395,530,364,0,0,0,0,1790863,1828670,10886,164.5,4.86,13.22,8.43,29.25,30.44,13.45,48.92,50.73,98.90935179,1.090648207,595,18028.45,124998,10.17,34.06,55.77,0,1,6,77,140,0,1025722,399065,3,Mixed Economies
2021,2564,Chanthaburi,495,0.92,151,47,297,34.8,20.2,44.5,0.5,536557,592610,6338,84.7,5.77,13.66,8.77,28.45,29.57,13.7,48.81,51.12,99.16655162,0.833448376,187,30877.6,246328,54.94,5.97,39.09,0,0,5,42,34,0,604728,198334,1,Agricultural
2021,2564,Chachoengsao,771,1.06,143,276,352,0,0,0,0,724178,816645,5351,135.3,5.77,14.42,8.7,29.98,28.42,13.06,49.13,51.22,99.31668303,0.683316973,302,23196.36,459330,4.91,70.24,24.85,0,0,1,33,74,0,91935,1091320,0,Industrial
2021,2564,Chonburi,2750,1.74,290,2037,423,0,0,0,0,1583672,2094741,4363,363,6.35,15.56,9.1,32.07,27.42,10.2,49.08,51.62,98.1729668,1.827033198,631,32355.77,525127,1.91,59.78,38.31,1,2,10,36,49,0,2316951,1092190,0,Industrial
2021,2564,Chai Nat,289,0.9,129,93,67,23.8,48.75,27.4,0.05,320432,347595,2470,129.7,4.28,12.48,7.65,26.47,31.05,17.41,47.69,51.65,97.59426756,2.405732435,107,23326.07,136947,18.94,33.13,47.93,0,0,1,38,20,0,92380,230637,3,Mixed Economies
2021,2564,Chaiyaphum,896,0.8,439,12,445,13.47,40.03,45.59,0.92,1122265,1137709,12778,87.8,5.04,13.62,8.3,28.17,30.61,13.88,49.13,50.48,99.96299221,0.037007786,312,20280.25,75081,26.51,19.57,53.92,0,0,1,35,106,0,252891,190241,3,Mixed Economies
2021,2564,Chumphon,416,0.82,145,50,221,0,0,0,0,509479,555842,6009,84.8,5.62,14.58,8.61,28.78,29.03,13.37,49.31,50.67,99.05201381,0.947986192,173,30598.05,258785,55.52,8.04,36.43,0,0,2,26,50,0,277783,64117,1,Agricultural
2021,2564,Chiang Rai,452,0.35,425,170,239,0,0,0,0,1298425,1316962,11678,111.2,5.31,13.39,8.66,29.34,29.26,14.13,48.57,51.53,97.79785001,2.202149986,422,15618.97,90908,22.29,10.76,66.95,0,1,0,72,70,0,1198099,259078,3,Mixed Economies
2021,2564,Chiang Mai,202,0.11,290,810,315,10.2,51.34,37.92,0.54,1789385,1937960,20107,89,5.45,13.33,8.53,30.02,28.2,14.64,48.3,51.87,97.7440541,2.2559459,584,22963.48,133051,18.75,11.85,69.4,0,1,4,116,89,0,2569222,1288087,4,Tourism
2021,2564,Trang,711,1.11,154,137,161,20.3,38.1,40.1,1.5,639788,663383,4918,130.1,5.5,15.69,9.01,29.95,27.4,12.21,48.74,51.01,98.81315843,1.186841573,198,24457.23,109719,30.16,18.62,51.22,0,1,1,20,77,0,264615,57141,1,Agricultural
2021,2564,Trat,217,0.95,31,94,77,31.7,27.4,40.4,0.5,228376,269704,2819,81,5.56,14.48,9.01,28.46,28.73,13.51,49.33,50.42,98.95426063,1.045739374,103,29917.26,157409,43.14,11.5,45.36,0,0,1,14,28,0,667590,37375,1,Agricultural
2021,2564,Tak,1225,1.81,333,140,238,0,0,0,0,676583,724970,16407,41.2,9.85,22.3,11.03,26.76,22.06,9.12,51.1,50.02,98.85398391,1.146016085,156,22631.76,116280,31.19,20.22,48.59,0,1,1,17,49,0,379089,117489,1,Agricultural
